msgctxt,msgid,msgid_plural,target_lang,status,issues
,ChromeNews Pro,,ne,unchanged,
,https://afthemes.com/products/chromenews-pro/,,ne,unchanged,
,"ChromeNews Pro is a powerful WordPress theme that's perfect for news, blogs, and magazines. The theme comes with a number of free starting pages that may be easily integrated to construct a fantastic news hub. The theme is fully widgetized, with 16+ custom widgets and widget sections, allowing users to customize site content. It also offers a light and dark color mode for viewing articles and blog posts in a fashionable manner. It also includes a variety of useful customizer choices for creating an aesthetically pleasing news site. You may set it up as you want and see how it looks before making any changes with the live customizer. It supports Gutenberg blocks and RTL, as well as the WooCommerce plugin, allowing you to combine an online store with our newspaper theme. The theme is appropriate for a news, journal, magazine, publishing, or review website, as well as blogging. It's well-designed to help the website rank higher in search engines, and users will receive excellent support from the staff if they run into any issues while using it.",,ne,unchanged,
,AF themes,,ne,unchanged,
,https://www.afthemes.com/,,ne,unchanged,
,Oops! That page can&rsquo;t be found.,,ne,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,ne,unchanged,
,Dashboard,,ne,unchanged,
,Customize,,ne,unchanged,
,Ads Settings,,ne,unchanged,
,Starter Sites,,ne,unchanged,
,Block Patterns,,ne,unchanged,
,Elementor Kits,,ne,unchanged,
,Support,,ne,unchanged,
,Master Bundle Plan,,ne,unchanged,
,Security check failed,,ne,unchanged,
,Ads settings saved.,,ne,unchanged,
,Global Ads Placement,,ne,unchanged,
,"💡 Tip: You can rotate multiple ads by separating them with <!--next-->. One ad will be shown randomly per page load. Works with HTML, JavaScript, and shortcodes.",,ne,unchanged,
,Header Ad,,ne,unchanged,
,"Add your HTML, JavaScript, or shortcode to display an ad at the very top of your site (header area).",,ne,unchanged,
,Before Content,,ne,unchanged,
,Ad before post content. Supports rotating multiple ads using <!--next-->.,,ne,unchanged,
,After Content,,ne,unchanged,
,Ad after post content. You can rotate multiple ads with <!--next--> separator.,,ne,unchanged,
,Before First Paragraph,,ne,unchanged,
,This ad appears after the first paragraph of single post content. Rotation supported via <!--next-->.,,ne,unchanged,
,After Third Paragraph,,ne,unchanged,
,Shown after the third paragraph in single post content. Supports rotating ads with <!--next-->.,,ne,unchanged,
,After Post Content,,ne,unchanged,
,"Displayed below post content, before comments or related posts. Rotation via <!--next--> supported.",,ne,unchanged,
,Sidebar Ad,,ne,unchanged,
,Shown in sidebar globally. You may use widgets for better control. Supports <!--next--> for rotating ads.,,ne,unchanged,
,Footer Ad,,ne,unchanged,
,Displayed at the bottom of the site above footer widgets. Rotating ads supported using <!--next-->.,,ne,unchanged,
,Archive / Blog Ads,,ne,unchanged,
,Before Post List,,ne,unchanged,
,Shown before posts in blog or archive pages. Use <!--next--> to rotate multiple ads.,,ne,unchanged,
,After Post List,,ne,unchanged,
,Shown after posts in archive or blog listings. Supports ad rotation using <!--next--> tag.,,ne,unchanged,
,Between Posts,,ne,unchanged,
,Manually inserted between posts in archive loop using hooks/snippets. Rotate with <!--next--> if needed.,,ne,unchanged,
,Save Ads Settings,,ne,unchanged,
,Helpful YouTube Videos,,ne,unchanged,
,Launch Your News Website Quickly,,ne,unchanged,
,Use our free accessible theme to build a news site without coding.,,ne,unchanged,
,Multi-Author Collaboration,,ne,unchanged,
,Learn how to manage multiple authors smoothly with our plugin.,,ne,unchanged,
,Import Gutenberg Patterns,,ne,unchanged,
,Easily import templates and patterns for consistent layouts.,,ne,unchanged,
,Elementor Tutorial for Beginners,,ne,unchanged,
,Build a professional news site fast with no coding needed.,,ne,unchanged,
,Multilingual Translation Guide,,ne,unchanged,
,Step-by-step guide to translate your site into multiple languages.,,ne,unchanged,
,The Templatespare plugin should be updated to the latest version,,ne,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,ne,unchanged,
,Blockspare plugin version should be more than %s.,,ne,unchanged,placeholders
,"One-click Import, No Coding Hassle!",,ne,unchanged,
,Elespare plugin version should be more than %s.,,ne,unchanged,placeholders
,Are you sure you want to install this plugin?,,ne,unchanged,
,Install Now,,ne,unchanged,
,Activate,,ne,unchanged,
,Activated,,ne,unchanged,
,Get Starter Sites,,ne,unchanged,
,Get Started,,ne,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,ne,unchanged,
,By,,ne,unchanged,
,More Details,,ne,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and  plugin for Starter Sites and Templates.",,ne,unchanged,
,Howdy!,,ne,unchanged,
,%s is now installed and ready to use. We've assembled some links to get you started.,,ne,unchanged,placeholders
,Explore Our Pre-Built Starter Websites!,,ne,unchanged,
,"Let your imagination soar! Designed with User-Friendly features, incorporating the Latest Trends and SEO-Friendly Markups. We genuinely appreciate you choosing our theme!",,ne,unchanged,
,Demos/product,,ne,unchanged,
,Theme dashboard,,ne,unchanged,
,Documentation,,ne,unchanged,
,Please check our full documentation for detailed information on how to setup and customize the theme.,,ne,unchanged,
,Docs,,ne,unchanged,
,Videos,,ne,unchanged,
,Blog,,ne,unchanged,
,Rate This Theme,,ne,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,ne,unchanged,
,"Error - unable to verify nonce, please try again.",,ne,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,ne,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,ne,unchanged,placeholders
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ne,unchanged,placeholders
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ne,unchanged,placeholders
,Comments are closed.,,ne,unchanged,
,%1$s by %2$s.,,ne,unchanged,placeholders
,Primary Menu,,ne,unchanged,
,Social Menu,,ne,unchanged,
,Footer Menu,,ne,unchanged,
%s font: on or off,on,,ne,unchanged,
,Skip to content,,ne,unchanged,
,Load More,,ne,unchanged,
,-- Select --,,ne,unchanged,
,Subscribe,,ne,unchanged,
,Trending,,ne,unchanged,
,Breaking News,,ne,unchanged,
,Prime News,,ne,unchanged,
,Related Stories,,ne,unchanged,
,Youtube video Section,,ne,unchanged,
,Featured Videos,,ne,unchanged,
,Express Posts Section,,ne,unchanged,
,Express Posts 1,,ne,unchanged,
,Express Posts 2,,ne,unchanged,
,Posts List Section,,ne,unchanged,
,Posts List %d,,ne,unchanged,placeholders
,Posts Carousel,,ne,unchanged,
,Main News,,ne,unchanged,
,Latest,,ne,unchanged,
,Popular,,ne,unchanged,
,Trending Now,,ne,unchanged,
,Editor's Picks,,ne,unchanged,
,Trending Story,,ne,unchanged,
,Featured Posts,,ne,unchanged,
,Featured Categories,,ne,unchanged,
,Featured Pages,,ne,unchanged,
,Custom Options,,ne,unchanged,
,Post list Section Title %d,,ne,unchanged,placeholders
,View More,,ne,unchanged,
,Read More,,ne,unchanged,
,Connect with Us,,ne,unchanged,
,Instagram,,ne,unchanged,
,Popular News,,ne,unchanged,
,Related News,,ne,unchanged,
,Subscribe To  Our Newsletter,,ne,unchanged,
,You may have missed,,ne,unchanged,
,Copyright &copy; {year} All rights reserved.,,ne,unchanged,placeholders
,Background Color,,ne,unchanged,
,Site Title Size,,ne,unchanged,
,Uppercase Site Title and Tagline,,ne,unchanged,
,Site Title/Tagline Color,,ne,unchanged,
,Header Image Mode,,ne,unchanged,
,Image visibility may vary as per the mode,,ne,unchanged,
,Set as Background,,ne,unchanged,
,Show Full Image,,ne,unchanged,
,Enable Image Tint/Overlay,,ne,unchanged,
,Overlay Transparancy(%),,ne,unchanged,
,Site Title/Tagline Color (Dark Mode),,ne,unchanged,
,Site Color Mode,,ne,unchanged,
,Check with Mode Swicth toggle in navigation,,ne,unchanged,
,Light,,ne,unchanged,
,Dark,,ne,unchanged,
,Main Banner Background,,ne,unchanged,
,Default,,ne,unchanged,
,Alternate,,ne,unchanged,
,Custom,,ne,unchanged,
,Banner Background Color,,ne,unchanged,
,Banner Texts Color,,ne,unchanged,
,General Link Color,,ne,unchanged,
,Primary Color Section ,,ne,unchanged,
,Background Color (Dark Mode),,ne,unchanged,
,Background Color (Dark Mode) will be applied for this mode.,,ne,unchanged,
,Box Background Color,,ne,unchanged,
,Primary Color,,ne,unchanged,
,Secondary Color Section ,,ne,unchanged,
,Secondary Color,,ne,unchanged,
,Texts over Secondary Color,,ne,unchanged,
,Top Header Section ,,ne,unchanged,
,Texts Color,,ne,unchanged,
,Primary Navigation Section ,,ne,unchanged,
,Menu Item Color,,ne,unchanged,
,Badge Background,,ne,unchanged,
,Badge Text Color,,ne,unchanged,
,Watch Online,,ne,unchanged,
,Archive/Widgets Section ,,ne,unchanged,
,Post Title,,ne,unchanged,
,Post Title Over Image,,ne,unchanged,
,Category Color Section ,,ne,unchanged,
,Category Colors,,ne,unchanged,
,Category %d Background,,ne,unchanged,placeholders
,Category %d Texts Color,,ne,unchanged,placeholders
,Fonts & Typography,,ne,unchanged,
,Font Family Section,,ne,unchanged,
,Global Fonts Family,,ne,unchanged,
,Google Fonts,,ne,unchanged,
,System Fonts,,ne,unchanged,
,Site Title Font,,ne,unchanged,
,Primary Font,,ne,unchanged,
,Secondary Font,,ne,unchanged,
,Post Title Font,,ne,unchanged,
,"Widgets, Archives, Search, etc.",,ne,unchanged,
,Texts Formatting Section,,ne,unchanged,
,Title Font Weight,,ne,unchanged,
,Default Value: %d,,ne,unchanged,placeholders
,100,,ne,unchanged,
,200,,ne,unchanged,unchanged_like
,300,,ne,unchanged,unchanged_like
,400,,ne,unchanged,unchanged_like
,500,,ne,unchanged,
,600,,ne,unchanged,unchanged_like
,700,,ne,unchanged,
,800,,ne,unchanged,unchanged_like
,900,,ne,unchanged,unchanged_like
,Global Letter Spacing,,ne,unchanged,
,Title Line height,,ne,unchanged,
,Default Value: %g,,ne,unchanged,placeholders
,Global Line height,,ne,unchanged,
,Font Size Section,,ne,unchanged,
,General Font Size,,ne,unchanged,
,Global Section Title Size,,ne,unchanged,
,Big Spotlight Post Title Size,,ne,unchanged,
,Medium Spotlight Post Title Size,,ne,unchanged,
,General Post Title Size,,ne,unchanged,
,Single Page/Posts Title Size,,ne,unchanged,
,Single Page/Posts Paragraph Size,,ne,unchanged,
,MailChimp Section,,ne,unchanged,
,Footer Section,,ne,unchanged,
